Colours, Runs with match, Runs with no match
1,1000000,0
2,1000000,0
3,1000000,0
4,1000000,0
5,1000000,0
6,1000000,0
7,1000000,0
8,999999,1
9,999991,9
10,999966,34
11,999871,129
12,999718,282
13,999293,707
14,998810,1190
15,997803,2197
16,996048,3952
17,994352,5648
18,992231,7769
19,988477,11523
20,984141,15859
21,977245,22755
22,971294,28706
23,965754,34246
24,959481,40519
25,952161,47839
26,942607,57393
27,932071,67929
28,919090,80910
29,903834,96166
30,885810,114190
31,863108,136892
32,838060,161940
33,828456,171544
34,818274,181726
35,807691,192309
36,796396,203604
37,784147,215853
38,772540,227460
39,758569,241431
40,744497,255503
41,728354,271646
42,713921,286079
43,697549,302451
44,680392,319608
45,661103,338897
46,641587,358413
47,621249,378751
48,598215,401785
49,574959,425041
50,548704,451296
51,523585,476415
52,494875,505125
53,466756,533244
54,434364,565636
55,401512,598488
56,366345,633655
57,329092,670908
58,289625,710375
59,248198,751802
60,205146,794854
61,157221,842779
62,108343,891657
63,55557,944443
64,0,1000000
